kode_prov,kode_bps,nama_bps,nama_dagri,kode_dagri
11,1101,SIMEULUE,KAB. SIMEULUE,11.09
11,1102,ACEH SINGKIL,KAB. ACEH SINGKIL,11.10
11,1103,ACEH SELATAN,KAB. ACEH SELATAN,11.01
11,1104,ACEH TENGGARA,KAB. ACEH TENGGARA,11.02
11,1105,ACEH TIMUR,KAB. ACEH TIMUR,11.03
11,1106,ACEH TENGAH,KAB. ACEH TENGAH,11.04
11,1107,ACEH BARAT,KAB. ACEH BARAT,11.05
11,1108,ACEH BESAR,KAB. ACEH BESAR,11.06
11,1109,PIDIE,KAB. PIDIE,11.07
11,1110,BIREUEN,KAB. BIREUEN,11.11
11,1111,ACEH UTARA,KAB. ACEH UTARA,11.08
11,1112,ACEH BARAT DAYA,KAB. ACEH BARAT DAYA,11.12
11,1113,GAYO LUES,KAB. GAYO LUES,11.13
11,1114,ACEH TAMIANG,KAB. ACEH TAMIANG,11.16
11,1115,NAGAN RAYA,KAB. NAGAN RAYA,11.15
11,1116,ACEH JAYA,KAB. ACEH JAYA,11.14
11,1117,BENER MERIAH,KAB. BENER MERIAH,11.17
11,1118,PIDIE JAYA,KAB. PIDIE JAYA,11.18
11,1171,BANDA ACEH,KOTA BANDA ACEH,11.71
11,1172,SABANG,KOTA SABANG,11.72
11,1173,LANGSA,KOTA LANGSA,11.74
11,1174,LHOKSEUMAWE,KOTA LHOKSEUMAWE,11.73
11,1175,SUBULUSSALAM,KOTA SUBULUSSALAM,11.75
12,1201,NIAS,KAB. NIAS,12.04
12,1202,MANDAILING NATAL,KAB. MANDAILING NATAL,12.13
12,1203,TAPANULI SELATAN,KAB. TAPANULI SELATAN,12.03
12,1204,TAPANULI TENGAH,KAB. TAPANULI TENGAH,12.01
12,1205,TAPANULI UTARA,KAB. TAPANULI UTARA,12.02
12,1206,TOBA SAMOSIR,KAB. TOBA SAMOSIR,12.12
12,1207,LABUHAN BATU,KAB. LABUHANBATU,12.10
12,1208,ASAHAN,KAB. ASAHAN,12.09
12,1209,SIMALUNGUN,KAB. SIMALUNGUN,12.08
12,1210,DAIRI,KAB. DAIRI,12.11
12,1211,KARO,KAB. KARO,12.06
12,1212,DELI SERDANG,KAB. DELI SERDANG,12.07
12,1213,LANGKAT,KAB. LANGKAT,12.05
12,1214,NIAS SELATAN,KAB. NIAS SELATAN,12.14
12,1215,HUMBANG HASUNDUTAN,KAB. HUMBANG HASUNDUTAN,12.16
12,1216,PAKPAK BHARAT,KAB. PAKPAK BHARAT,12.15
12,1217,SAMOSIR,KAB. SAMOSIR,12.17
12,1218,SERDANG BEDAGAI,KAB. SERDANG BEDAGAI,12.18
12,1219,BATU BARA,KAB. BATU BARA,12.19
12,1220,PADANG LAWAS UTARA,KAB. PADANG LAWAS UTARA,12.20
