kode_prov,kode_bps,nama_bps,nama_dagri,kode_dagri,latitude,longitude
11,1101,SIMEULUE,KAB. SIMEULUE,11.09,2.4517114,96.3774566
11,1102,ACEH SINGKIL,KAB. ACEH SINGKIL,11.1,2.2732113,97.813226
11,1103,ACEH SELATAN,KAB. ACEH SELATAN,11.01,3.260106,97.189643
11,1104,ACEH TENGGARA,KAB. ACEH TENGGARA,11.02,3.4732392,97.8151078
11,1105,ACEH TIMUR,KAB. ACEH TIMUR,11.03,4.9114668,97.8056172
11,1106,ACEH TENGAH,KAB. ACEH TENGAH,11.04,4.6215483,96.8478454
11,1107,ACEH BARAT,KAB. ACEH BARAT,11.05,4.1570096,96.129388
11,1108,ACEH BESAR,KAB. ACEH BESAR,11.06,5.3028584,95.5966816
11,1109,PIDIE,KAB. PIDIE,11.07,5.3667166,95.9578075
11,1110,BIREUEN,KAB. BIREUEN,11.11,5.2032789,96.6861017
11,1111,ACEH UTARA,KAB. ACEH UTARA,11.08,5.0746364,97.3056703
11,1112,ACEH BARAT DAYA,KAB. ACEH BARAT DAYA,11.12,3.7431189,96.847118
11,1113,GAYO LUES,KAB. GAYO LUES,11.13,4.0017634,97.3306546
11,1114,ACEH TAMIANG,KAB. ACEH TAMIANG,11.16,4.3116096,98.0543253
11,1115,NAGAN RAYA,KAB. NAGAN RAYA,11.15,4.1332039,96.3224182
11,1116,ACEH JAYA,KAB. ACEH JAYA,11.14,4.6176235,95.6154912
11,1117,BENER MERIAH,KAB. BENER MERIAH,11.17,4.7251967,96.822546
11,1118,PIDIE JAYA,KAB. PIDIE JAYA,11.18,5.2262521,96.2443388
11,1171,BANDA ACEH,KOTA BANDA ACEH,11.71,5.5738961,95.3456937
11,1172,SABANG,KOTA SABANG,11.72,5.895631,95.316468
11,1173,LANGSA,KOTA LANGSA,11.74,4.4748619,97.9563662
11,1174,LHOKSEUMAWE,KOTA LHOKSEUMAWE,11.73,5.1804281,97.1467996
11,1175,SUBULUSSALAM,KOTA SUBULUSSALAM,11.75,2.6703289,97.9913967
12,1201,NIAS,KAB. NIAS,12.04,0.925046,97.7076171
12,1202,MANDAILING NATAL,KAB. MANDAILING NATAL,12.13,0.798993,99.5796508
12,1203,TAPANULI SELATAN,KAB. TAPANULI SELATAN,12.03,1.4164286,99.2868907
12,1204,TAPANULI TENGAH,KAB. TAPANULI TENGAH,12.01,1.6875564,98.8285708
12,1205,TAPANULI UTARA,KAB. TAPANULI UTARA,12.02,2.011716,98.9798453
12,1206,TOBA SAMOSIR,KAB. TOBA SAMOSIR,12.12,2.5046828,98.8863591
12,1207,LABUHAN BATU,KAB. LABUHANBATU,12.1,2.2129977,99.8446794
12,1208,ASAHAN,KAB. ASAHAN,12.09,2.9892966,99.622964
12,1209,SIMALUNGUN,KAB. SIMALUNGUN,12.08,2.9662,99.1076189
12,1210,DAIRI,KAB. DAIRI,12.11,2.7409366,98.3197137
12,1211,KARO,KAB. KARO,12.06,3.1630236,98.509411
12,1212,DELI SERDANG,KAB. DELI SERDANG,12.07,3.54771,98.8681979
12,1213,LANGKAT,KAB. LANGKAT,12.05,3.7412598,98.4500948
12,1214,NIAS SELATAN,KAB. NIAS SELATAN,12.14,0.5669721,97.8079561
12,1215,HUMBANG HASUNDUTAN,KAB. HUMBANG HASUNDUTAN,12.16,2.2420594,98.7379725
12,1216,PAKPAK BHARAT,KAB. PAKPAK BHARAT,12.15,2.543441,98.325923
12,1217,SAMOSIR,KAB. SAMOSIR,12.17,2.6866405,98.7055323
12,1218,SERDANG BEDAGAI,KAB. SERDANG BEDAGAI,12.18,3.5084114,99.1067001
12,1219,BATU BARA,KAB. BATU BARA,12.19,3.1724198,99.4167792
12,1220,PADANG LAWAS UTARA,KAB. PADANG LAWAS UTARA,12.2,1.4820364,99.6045214
12,1221,PADANG LAWAS,KAB. PADANG LAWAS,12.21,1.2614161,99.6743642
12,1222,LABUHAN BATU SELATAN,KAB. LABUHANBATU SELATAN,12.22,1.8590096,100.040112
12,1223,LABUHAN BATU UTARA,KAB. LABUHANBATU UTARA,12.23,2.5669858,99.6492469
12,1224,NIAS UTARA,KAB. NIAS UTARA,12.24,1.0542711,97.432759
12,1225,NIAS BARAT,KAB. NIAS BARAT,12.25,1.0468495,97.457437
12,1271,SIBOLGA,KOTA SIBOLGA,12.73,1.7452726,98.7791199
12,1272,TANJUNG BALAI,KOTA TANJUNG BALAI,12.74,2.9494781,99.7784805
12,1273,PEMATANG SIANTAR,KOTA PEMATANGSIANTAR,12.72,2.9515437,99.0635028
12,1274,TEBING TINGGI,KOTA TEBING TINGGI,12.76,3.3530658,99.1637434
12,1275,MEDAN,KOTA MEDAN,12.71,3.6020207,98.6286697
12,1276,BINJAI,KOTA BINJAI,12.75,3.6008281,98.4791212
12,1277,PADANGSIDIMPUAN,KOTA PADANG SIDEMPUAN,12.77,1.373906,99.2965093
12,1278,GUNUNGSITOLI,KOTA GUNUNGSITOLI,12.78,1.2799296,97.609921
13,1301,KEPULAUAN MENTAWAI,KAB. KEPULAUAN MENTAWAI,13.09,-2.0793512,99.6052824
13,1302,PESISIR SELATAN,KAB. PESISIR SELATAN,13.01,-1.3480407,100.5817836
13,1303,SOLOK,KAB. SOLOK,13.02,-0.8603059,100.632539
13,1304,SIJUNJUNG,KAB. SIJUNJUNG,13.03,-0.6749428,100.9603896
13,1305,TANAH DATAR,KAB. TANAH DATAR,13.04,-0.4629901,100.5832055
13,1306,PADANG PARIAMAN,KAB. PADANG PARIAMAN,13.05,-0.6246648,100.2775282
13,1307,AGAM,KAB. AGAM,13.06,-0.3138181,100.0325914
13,1308,LIMA PULUH KOTA,KAB. LIMA PULUH KOTA,13.07,-0.1621068,100.6604135
13,1309,PASAMAN,KAB. PASAMAN,13.08,0.1377484,100.1670422
13,1310,SOLOK SELATAN,KAB. SOLOK SELATAN,13.11,-1.5558524,101.2467391
13,1311,DHARMASRAYA,KAB. DHARMASRAYA,13.1,-0.9864225,101.5409449
13,1312,PASAMAN BARAT,KAB. PASAMAN BARAT,13.12,0.1236214,99.8554659
13,1371,PADANG,KOTA PADANG,13.71,-0.9146636,100.3883924
13,1372,SOLOK,KOTA SOLOK,13.72,-0.8603059,100.632539
13,1373,SAWAH LUNTO,KOTA SAWAHLUNTO,13.73,-0.6842698,100.7796035
13,1374,PADANG PANJANG,KOTA PADANG PANJANG,13.74,-0.4660222,100.3833234
